,title,abstract,summary,date
0,"Tracking changes in SARS-CoV-2 transmission with a novel outpatient sentinel surveillance system in Chicago, USA","Public health indicators typically used for COVID-19 surveillance can be biased or lag changing community transmission patterns. In this study, we investigate whether sentinel surveillance of recently symptomatic individuals receiving outpatient diagnostic testing for SARS-CoV-2 could accurately assess the instantaneous reproductive number R(t) and provide early warning of changes in transmission. We use data from community-based diagnostic testing sites in the United States city of Chicago. Patients tested at community-based diagnostic testing sites between September 2020 and June 2021, and reporting symptom onset within four days preceding their test, formed the sentinel population. R(t) calculated from sentinel cases agreed well with R(t) from other indicators. Retrospectively, trends in sentinel cases did not precede trends in COVID-19 hospital admissions by any identifiable lead time. In deployment, sentinel surveillance held an operational recency advantage of nine days over hospital admissions. The promising performance of opportunistic sentinel surveillance suggests that deliberately designed outpatient sentinel surveillance would provide robust early warning of increasing transmission.","In this study, the authors develop a method for estimation of SARS-CoV-2 community transmission rates based on a sentinel population of people seeking outpatient testing with recent symptom onset. This method has fewer operational delays than methods based on hospital data, and may be subject to fewer biases.",2022-09-22
1,Engineering SARS-CoV-2 specific cocktail antibodies into a bispecific format improves neutralizing potency and breadth,"One major limitation of neutralizing antibody-based COVID-19 therapy is the requirement of costly cocktails to reduce emergence of antibody resistance. Here we engineer two bispecific antibodies (bsAbs) using distinct designs and compared them with parental antibodies and their cocktail. Single molecules of both bsAbs block the two epitopes targeted by parental antibodies on the receptor-binding domain (RBD). However, bsAb with the IgG-(scFv)2 design (14-H-06) but not the CrossMAb design (14-crs-06) shows increased antigen-binding and virus-neutralizing activities against multiple SARS-CoV-2 variants as well as increased breadth of neutralizing activity compared to the cocktail. X-ray crystallography and cryo-EM reveal distinct binding models for individual cocktail antibodies, and computational simulations suggest higher inter-spike crosslinking potentials by 14-H-06 than 14-crs-06. In mouse models of infections by SARS-CoV-2 and multiple variants, 14-H-06 exhibits higher or equivalent therapeutic efficacy than the cocktail. Rationally engineered bsAbs represent a cost-effective alternative to antibody cocktails and a promising strategy to improve potency and breadth.","Bispecific antibodies can have advantages compared to antibody cocktails. Here, the authors engineer and characterize two different approaches for generating bispecific SARS-CoV-2 specific antibodies and find that only one design increases antigen-binding and virus neutralizing activities.",2022-09-22
2,Wireless multi-lateral optofluidic microsystems for real-time programmable optogenetics and photopharmacology,"In vivo optogenetics and photopharmacology are two techniques for controlling neuronal activity that have immense potential in neuroscience research. Their applications in tether-free groups of animals have been limited in part due to tools availability. Here, we present a wireless, battery-free, programable multilateral optofluidic platform with user-selected modalities for optogenetics, pharmacology and photopharmacology. This system features mechanically compliant microfluidic and electronic interconnects, capabilities for dynamic control over the rates of drug delivery and real-time programmability, simultaneously for up to 256 separate devices in a single cage environment. Our behavioral experiments demonstrate control of motor behaviors in grouped mice through in vivo optogenetics with co-located gene delivery and controlled photolysis of caged glutamate. These optofluidic systems may expand the scope of wireless techniques to study neural processing in animal models.",Wireless delivery of both light and pharmacological agents is important for optogenetic and other mechanistic experiments in the brain. Here the authors present a wireless real-time programmable optofluidic platform that enables optogenetics and photopharmacology experiments that require real-time precise control of light and drug delivery.,2022-09-22
3,IL-23 signaling prevents ferroptosis-driven renal immunopathology during candidiasis,"During infection the host relies on pattern-recognition receptors to sense invading fungal pathogens to launch immune defense mechanisms. While fungal recognition and immune effector responses are organ and cell type specific, during disseminated candidiasis myeloid cells exacerbate collateral tissue damage. The β-glucan receptor ephrin type-A 2 receptor (EphA2) is required to initiate mucosal inflammatory responses during oral Candida infection. Here we report that EphA2 promotes renal immunopathology during disseminated candidiasis. EphA2 deficiency leads to reduced renal inflammation and injury. Comprehensive analyses reveal that EphA2 restrains IL-23 secretion from and migration of dendritic cells. IL-23 signaling prevents ferroptotic host cell death during infection to limit inflammation and immunopathology. Further, host cell ferroptosis limits antifungal effector functions via releasing the lipid peroxidation product 4-hydroxynonenal to induce various forms of cell death. Thus, we identify ferroptotic cell death as a critical pathway of Candida-mediated renal immunopathology that opens a new avenue to tackle Candida infection and inflammation.","The beta-glucan receptor EphA2 is known to maintain mucosal immunity. Here, its role in modulating renal immunopathology via IL-23 signalling and ferroptotic cell death during candidiasis is characterised.",2022-09-22
4,Topical application of an irreversible small molecule inhibitor of lysyl oxidases ameliorates skin scarring and fibrosis,"Scarring is a lifelong consequence of skin injury, with scar stiffness and poor appearance presenting physical and psychological barriers to a return to normal life. Lysyl oxidases are a family of enzymes that play a critical role in scar formation and maintenance. Lysyl oxidases stabilize the main component of scar tissue, collagen, and drive scar stiffness and appearance. Here we describe the development and characterisation of an irreversible lysyl oxidase inhibitor, PXS-6302. PXS-6302 is ideally suited for skin treatment, readily penetrating the skin when applied as a cream and abolishing lysyl oxidase activity. In murine models of injury and fibrosis, topical application reduces collagen deposition and cross-linking. Topical application of PXS-6302 after injury also significantly improves scar appearance without reducing tissue strength in porcine injury models. PXS-6302 therefore represents a promising therapeutic to ameliorate scar formation, with potentially broader applications in other fibrotic diseases.",Scars are a significant problem caused by excess collagen in the skin. Here the authors develop a topical drug that reduces collagen stability and leads to improved scar appearance and stiffness in preclinical models.,2022-09-22
5,Cell Rover—a miniaturized magnetostrictive antenna for wireless operation inside living cells,"An intracellular antenna can open up new horizons for fundamental and applied biology. Here, we introduce the Cell Rover, a magnetostrictive antenna which can operate wirelessly inside a living cell and is compatible with 3D biological systems. It is sub-mm in size, acoustically actuated by an AC magnetic field and resonantly operated at low MHz frequencies, which is ideal for living systems. We developed an injection scheme involving non-uniform magnetic fields for intracellular injection of the Cell Rovers and demonstrated their operation in fully opaque, stage VI Xenopus oocytes, for which real-time imaging with conventional technologies is challenging. We also show that they provide a pathway for multiplexing applications to individually address multiple cells or to tune to more than one antenna within the same cell for versatile functionalities. This technology forms the foundation stone that can enable the integration of future capabilities such as smart sensing, modulation as well as energy harvesting to power in-cell nanoelectronic computing and can potentially bring the prowess of information technology inside a living cell. This could lead to unprecedented opportunities for fundamental understanding of biology as well as diagnostics and therapeutics.","An intracellular antenna that can truly enable probing, modulation or augmentation of biological cells remains an unmet challenge. Here, the authors present the Cell Rover, a magnetostrictive antenna that operates wirelessly inside a living cell and is compatible with 3D biological systems.",2022-09-22
6,High-throughput mutagenesis identifies mutations and RNA-binding proteins controlling CD19 splicing and CART-19 therapy resistance,"Following CART-19 immunotherapy for B-cell acute lymphoblastic leukaemia (B-ALL), many patients relapse due to loss of the cognate CD19 epitope. Since epitope loss can be caused by aberrant CD19 exon 2 processing, we herein investigate the regulatory code that controls CD19 splicing. We combine high-throughput mutagenesis with mathematical modelling to quantitatively disentangle the effects of all mutations in the region comprising CD19 exons 1-3. Thereupon, we identify ~200 single point mutations that alter CD19 splicing and thus could predispose B-ALL patients to developing CART-19 resistance. Furthermore, we report almost 100 previously unknown splice isoforms that emerge from cryptic splice sites and likely encode non-functional CD19 proteins. We further identify cis-regulatory elements and trans-acting RNA-binding proteins that control CD19 splicing (e.g., PTBP1 and SF3B4) and validate that loss of these factors leads to pervasive CD19 mis-splicing. Our dataset represents a comprehensive resource for identifying predictive biomarkers for CART-19 therapy.","Multiple alternative splicing events in CD19 mRNA have been associated with resistance/relapse to CD19 CAR-T therapy in patients with B cell malignancies. Here, by combining patient data and a high-throughput mutagenesis screen, the authors identify single point mutations and RNA-binding proteins that can control CD19 splicing and be associated with CD19 CAR-T therapy resistance.",2022-09-22
7,Context-dependent selectivity to natural images in the retina,"Retina ganglion cells extract specific features from natural scenes and send this information to the brain. In particular, they respond to local light increase (ON responses), and/or decrease (OFF). However, it is unclear if this ON-OFF selectivity, characterized with synthetic stimuli, is maintained under natural scene stimulation. Here we recorded ganglion cell responses to natural images slightly perturbed by random noise patterns to determine their selectivity during natural stimulation. The ON-OFF selectivity strongly depended on the specific image. A single ganglion cell can signal luminance increase for one image, and luminance decrease for another. Modeling and experiments showed that this resulted from the non-linear combination of different retinal pathways. Despite the versatility of the ON-OFF selectivity, a systematic analysis demonstrated that contrast was reliably encoded in these responses. Our perturbative approach uncovered the selectivity of retinal ganglion cells to more complex features than initially thought.","Ganglion cells classically respond to either light increase (ON) or decrease (OFF). Here, the authors show that during natural scene stimulation, a single ganglion cell can switch between ON and OFF depending on the visual context.",2022-09-22
8,High-temperature stability in air of Ti3C2Tx MXene-based composite with extracted bentonite,"Although Ti3C2Tx MXene is a promising material for many applications such as catalysis, energy storage, electromagnetic interference shielding due to its metallic conductivity and high processability, it’s poor resistance to oxidation at high temperatures makes its application under harsh environments challenging. Here, we report an air-stable Ti3C2Tx based composite with extracted bentonite (EB) nanosheets. In this case, oxygen molecules are shown to be preferentially adsorbed on EB. The saturated adsorption of oxygen on EB further inhibits more oxygen molecules to be adsorbed on the surface of Ti3C2Tx due to the weakened p-d orbital hybridization between adsorbed O2 and Ti3C2Tx, which is induced by the Ti3C2Tx/EB interface coupling. As a result, the composite is capable of tolerating high annealing temperatures (above 400 °C for several hours) both in air or humid environment, indicating highly improved antioxidation properties in harsh condition. The above finding is shown to be independent on the termination ratio of Ti3C2Tx obtained through different synthesis routes. Utilized as terahertz shielding materials, the composite retains its shielding ability after high-temperature treatment even up to 600 °C, while pristine Ti3C2Tx is completely oxidized with no terahertz shielding ability. Joule heating and thermal cycling performance are also demonstrated.","A major challenge for the effective use of Ti-based MXenes in applications with harsh environmental conditions is their poor resistance to oxidation. Here, authors report an air-stable Ti3C2Tx composite with extracted bentonite able to endure high-temperature annealing in air by an oxygen adsorption competition mechanism.",2022-09-22
9,Endocytosis-like DNA uptake by cell wall-deficient bacteria,"Horizontal gene transfer in bacteria is widely believed to occur via conjugation, transduction and transformation. These mechanisms facilitate the passage of DNA across the protective cell wall using sophisticated machinery. Here, we report that cell wall-deficient bacteria can engulf DNA and other extracellular material via an endocytosis-like process. Specifically, we show that L-forms of the filamentous actinomycete Kitasatospora viridifaciens can take up plasmid DNA, polysaccharides (dextran) and 150-nm lipid nanoparticles. The process involves invagination of the cytoplasmic membrane, leading to formation of intracellular vesicles that encapsulate extracellular material. DNA uptake is not affected by deletion of genes homologous to comEC and comEA, which are required for natural transformation in other species. However, uptake is inhibited by sodium azide or incubation at 4 °C, suggesting the process is energy-dependent. The encapsulated materials are released into the cytoplasm upon degradation of the vesicle membrane. Given that cell wall-deficient bacteria are considered a model for early life forms, our work reveals a possible mechanism for primordial cells to acquire food or genetic material before invention of the bacterial cell wall.","Horizontal gene transfer in bacteria can occur through mechanisms such as conjugation, transduction and transformation, which facilitate the passage of DNA across the cell wall. Here, Kapteijn et al. show that cell wall-deficient bacteria can take up DNA and other extracellular materials via an endocytosis-like process.",2022-09-22
